Name,previous_bin_count,current_bin_count,new_point_mjd,new_point_flux,new_point_flux_error,previous_point_flux,average_flux_full_series,previous_quiescent_background,previous_quiescent_background_error,current_quiescent_background,current_quiescent_background_error,previous_detection_threshold,current_detection_threshold,flare_flux_threshold,above_previous_flux,above_flare_flux_threshold,potential_flare_point,consecutive_potential_flare_points,flare_active,flare_start_mjd,flare_end_mjd,confirmed_sigma_delta,confirmed_sigma_threshold,confirmed_start_trigger,confirmed_flare_active,confirmed_flare_start_mjd,confirmed_flare_end_mjd,cadence,lookback_weeks,detection_method,quiescent_background_origin,quiescent_background_cache_path,flare_duration_seconds,streak_mean_flux,source_counts_0p2_5MeV,background_counts,mdp99_percent,mdp99_available,mdp99_reason
4FGL J0538.8-4405,1,2,54690.00001157408,4.5e-07,5.37e-08,3.09e-07,1.9663055489964582e-07,1.7035000000000001e-07,1.104332098019454e-08,1.7035000000000001e-07,1.104332098019454e-08,1.6151e-07,1.6151e-07,1.7035000000000001e-07,True,True,True,1,False,54690.00001157408,,5.100890327106208,2.0,True,True,54690.00001157408,54690.00001157408,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,604800.0,4.5e-07,484.9461545277418,151200.0,1148.4544065944565,True,ok
4FGL J0538.8-4405,2,3,54697.00001157408,2.28e-07,4.4e-08,4.5e-07,1.9663055489964582e-07,1.7035000000000001e-07,1.104332098019454e-08,1.7035000000000001e-07,1.104332098019454e-08,1.6151e-07,1.6151e-07,1.7035000000000001e-07,False,True,True,2,False,54690.00001157408,,1.270812216470698,2.0,False,True,54690.00001157408,54697.00001157408,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,1209600.0,3.39e-07,730.6522061551308,302400.0,1077.5570296996189,True,ok
4FGL J0538.8-4405,3,4,54704.00001157408,4.06e-07,5.26e-08,2.28e-07,1.9663055489964582e-07,1.7035000000000001e-07,1.104332098019454e-08,1.7035000000000001e-07,1.104332098019454e-08,1.6151e-07,1.6151e-07,1.7035000000000001e-07,True,True,True,3,True,54690.00001157408,54704.00001157408,4.3844497847968515,2.0,True,True,54690.00001157408,54704.00001157408,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,1814400.0,3.613333333333334e-07,1168.1814033512715,453600.0,825.5070463455304,True,ok
4FGL J0538.8-4405,4,5,54711.00001157408,4.43e-07,5.5e-08,4.06e-07,1.9663055489964582e-07,1.7035000000000001e-07,1.104332098019454e-08,1.7035000000000001e-07,1.104332098019454e-08,1.6151e-07,1.6151e-07,1.7035000000000001e-07,True,True,True,4,True,54690.00001157408,54711.00001157408,4.860268252442447,2.0,True,True,54690.00001157408,54711.00001157408,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,2419200.0,3.8175000000000004e-07,1645.5839510308037,604800.0,676.7245208946396,True,ok
4FGL J0538.8-4405,5,6,54718.00001157408,5.49e-07,5.29e-08,4.43e-07,1.9663055489964582e-07,1.7035000000000001e-07,1.104332098019454e-08,1.7035000000000001e-07,1.104332098019454e-08,1.6151e-07,1.6151e-07,1.7035000000000001e-07,True,True,True,5,True,54690.00001157408,54718.00001157408,7.00679478909976,2.0,True,True,54690.00001157408,54718.00001157408,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,3024000.0,4.152e-07,2237.2182595546487,756000.0,556.583376674511,True,ok
4FGL J0538.8-4405,6,7,54725.00001157408,3.76e-07,4.69e-08,5.49e-07,1.9663055489964582e-07,1.7035000000000001e-07,1.104332098019454e-08,1.7035000000000001e-07,1.104332098019454e-08,1.6151e-07,1.6151e-07,1.7035000000000001e-07,False,True,True,6,True,54690.00001157408,54725.00001157408,4.268136456237082,2.0,True,True,54690.00001157408,54725.00001157408,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,3628800.0,4.0866666666666665e-07,2642.4177131156057,907200.0,516.1995904319393,True,ok
4FGL J0538.8-4405,7,8,54732.00001157408,4.24e-07,4.62e-08,3.76e-07,1.9663055489964582e-07,1.7035000000000001e-07,1.104332098019454e-08,1.7035000000000001e-07,1.104332098019454e-08,1.6151e-07,1.6151e-07,1.7035000000000001e-07,True,True,True,7,True,54690.00001157408,54732.00001157408,5.339828491283479,2.0,True,True,54690.00001157408,54732.00001157408,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,4233600.0,4.108571428571429e-07,3099.344756492856,1058400.0,475.3637000756942,True,ok
4FGL J0538.8-4405,8,9,54739.00001157408,5.33e-07,5.49e-08,4.24e-07,1.9663055489964582e-07,1.7035000000000001e-07,1.104332098019454e-08,1.7035000000000001e-07,1.104332098019454e-08,1.6151e-07,1.6151e-07,1.7035000000000001e-07,True,True,True,8,True,54690.00001157408,54739.00001157408,6.4759290589764715,2.0,True,True,54690.00001157408,54739.00001157408,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,4838400.0,4.26125e-07,3673.7365350779364,1209600.0,428.7532533534076,True,ok
4FGL J0538.8-4405,9,10,54746.00001157408,4.12e-07,5.34e-08,5.33e-07,1.9663055489964582e-07,1.7035000000000001e-07,1.104332098019454e-08,1.7035000000000001e-07,1.104332098019454e-08,1.6151e-07,1.6151e-07,1.7035000000000001e-07,False,True,True,9,True,54690.00001157408,54746.00001157408,4.431510035707577,2.0,True,True,54690.00001157408,54746.00001157408,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,5443200.0,4.245555555555555e-07,4117.731681001113,1360800.0,405.72449798244304,True,ok
4FGL J0538.8-4405,10,11,54753.00001157408,5.34e-07,6.11e-08,4.12e-07,1.9663055489964582e-07,1.7035000000000001e-07,1.104332098019454e-08,1.7035000000000001e-07,1.104332098019454e-08,1.6151e-07,1.6151e-07,1.7035000000000001e-07,True,True,True,10,True,54690.00001157408,54753.00001157408,5.856823145751782,2.0,True,True,54690.00001157408,54753.00001157408,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,6048000.0,4.355e-07,4693.201117707366,1512000.0,375.24571531133194,True,ok
4FGL J0538.8-4405,11,12,54760.00001157408,3.47e-07,5.72e-08,5.34e-07,1.9663055489964582e-07,1.7035000000000001e-07,1.104332098019454e-08,1.7035000000000001e-07,1.104332098019454e-08,1.6151e-07,1.6151e-07,1.7035000000000001e-07,False,True,True,11,True,54690.00001157408,54760.00001157408,3.0322907629962557,2.0,True,True,54690.00001157408,54760.00001157408,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,6652800.0,4.2745454545454546e-07,5067.148485754315,1663200.0,364.5064397903986,True,ok
4FGL J0538.8-4405,12,13,54767.00001157408,4.4e-07,5.11e-08,3.47e-07,1.9663055489964582e-07,1.7035000000000001e-07,1.104332098019454e-08,1.7035000000000001e-07,1.104332098019454e-08,1.6151e-07,1.6151e-07,1.7035000000000001e-07,True,True,True,12,True,54690.00001157408,54767.00001157408,5.157835704613633,2.0,True,True,54690.00001157408,54767.00001157408,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,7257600.0,4.285e-07,5541.318059070329,1814400.0,348.1381775407197,True,ok
4FGL J0538.8-4405,13,14,54774.00001157408,3.71e-07,4.65e-08,4.4e-07,1.9663055489964582e-07,1.7035000000000001e-07,1.104332098019454e-08,1.7035000000000001e-07,1.104332098019454e-08,1.6151e-07,1.6151e-07,1.7035000000000001e-07,False,True,True,13,True,54690.00001157408,54774.00001157408,4.198282232817046,2.0,True,True,54690.00001157408,54774.00001157408,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,7862400.0,4.240769230769231e-07,5941.129222025424,1965600.0,337.96362496141666,True,ok
4FGL J0538.8-4405,14,15,54781.00001157408,1.93e-07,3.5e-08,3.71e-07,1.9663055489964582e-07,1.7035000000000001e-07,1.104332098019454e-08,1.7035000000000001e-07,1.104332098019454e-08,1.6151e-07,1.6151e-07,1.7035000000000001e-07,False,True,True,14,True,54690.00001157408,54781.00001157408,0.6171513352025852,2.0,False,True,54690.00001157408,54781.00001157408,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,8467200.0,4.075714285714286e-07,6149.117239411765,2116800.0,338.8387388418111,True,ok
4FGL J0538.8-4405,15,16,54788.00001157408,3.93e-07,4.8e-08,1.93e-07,1.9663055489964582e-07,1.7035000000000001e-07,1.104332098019454e-08,1.7035000000000001e-07,1.104332098019454e-08,1.6151e-07,1.6151e-07,1.7035000000000001e-07,True,True,True,15,True,54690.00001157408,54788.00001157408,4.520446509940241,2.0,True,True,54690.00001157408,54788.00001157408,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,9072000.0,4.066e-07,6572.636881032659,2268000.0,328.1302755030446,True,ok
4FGL J0538.8-4405,16,17,54795.00001157408,4.56e-07,5.04e-08,3.93e-07,1.9663055489964582e-07,1.7035000000000001e-07,1.104332098019454e-08,1.7035000000000001e-07,1.104332098019454e-08,1.6151e-07,1.6151e-07,1.7035000000000001e-07,True,True,True,16,True,54690.00001157408,54795.00001157408,5.536315445491864,2.0,True,True,54690.00001157408,54795.00001157408,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,9676800.0,4.096875e-07,7064.048984287438,2419200.0,315.31989038743353,True,ok
