Name,previous_bin_count,current_bin_count,new_point_mjd,new_point_flux,new_point_flux_error,previous_point_flux,average_flux_full_series,previous_quiescent_background,previous_quiescent_background_error,current_quiescent_background,current_quiescent_background_error,previous_detection_threshold,current_detection_threshold,flare_flux_threshold,above_previous_flux,above_flare_flux_threshold,potential_flare_point,consecutive_potential_flare_points,flare_active,flare_start_mjd,flare_end_mjd,confirmed_sigma_delta,confirmed_sigma_threshold,confirmed_start_trigger,confirmed_flare_active,confirmed_flare_start_mjd,confirmed_flare_end_mjd,cadence,lookback_weeks,detection_method,quiescent_background_origin,quiescent_background_cache_path,flare_duration_seconds,streak_mean_flux,source_counts_0p2_5MeV,background_counts,mdp99_percent,mdp99_available,mdp99_reason
4FGL J1800.6+7828,1,2,54690.00001157408,4.34e-08,2.15e-08,6.04e-08,1.239419773299748e-07,7.043684210526316e-08,5.411822705891242e-09,7.043684210526316e-08,5.411822705891242e-09,9.705000000000001e-08,9.705000000000001e-08,7.043684210526316e-08,False,False,False,0,False,,,-1.2194878930768138,2.0,False,False,,,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1800.6+7828,2,3,54697.00001157408,1.24e-07,3.34e-08,4.34e-08,1.239419773299748e-07,7.043684210526316e-08,5.411822705891242e-09,7.043684210526316e-08,5.411822705891242e-09,9.705000000000001e-08,9.705000000000001e-08,7.043684210526316e-08,True,True,True,1,False,54697.00001157408,,1.5830414696338957,2.0,False,False,,,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,604800.0,1.24e-07,104.46897231986611,151200.0,5324.44803489778,True,ok
4FGL J1800.6+7828,3,4,54704.00001157408,7.24e-08,3.43e-08,1.24e-07,1.239419773299748e-07,7.043684210526316e-08,5.411822705891242e-09,7.043684210526316e-08,5.411822705891242e-09,9.705000000000001e-08,9.705000000000001e-08,7.043684210526316e-08,False,True,True,2,False,54697.00001157408,,0.05653554518519844,2.0,False,False,,,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,1209600.0,9.819999999999999e-08,165.4653722872718,302400.0,4753.774699242565,True,ok
4FGL J1800.6+7828,4,5,54711.00001157408,1.06e-07,3.45e-08,7.24e-08,1.239419773299748e-07,7.043684210526316e-08,5.411822705891242e-09,7.043684210526316e-08,5.411822705891242e-09,9.705000000000001e-08,9.705000000000001e-08,7.043684210526316e-08,True,True,True,3,True,54697.00001157408,54711.00001157408,1.018363161205308,2.0,False,False,,,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,1814400.0,1.0079999999999999e-07,254.7694937865122,453600.0,3781.351635654044,True,ok
4FGL J1800.6+7828,5,6,54718.00001157408,9.51e-08,3.65e-08,1.06e-07,1.239419773299748e-07,7.043684210526316e-08,5.411822705891242e-09,7.043684210526316e-08,5.411822705891242e-09,9.705000000000001e-08,9.705000000000001e-08,7.043684210526316e-08,False,True,True,4,True,54697.00001157408,54718.00001157408,0.6683959778316041,2.0,False,False,,,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,2419200.0,9.937499999999999e-08,334.8904556221514,604800.0,3321.6920272383363,True,ok
4FGL J1800.6+7828,6,7,54739.00001157408,6.35e-08,2.73e-08,9.51e-08,1.239419773299748e-07,7.043684210526316e-08,5.411822705891242e-09,7.043684210526316e-08,5.411822705891242e-09,9.705000000000001e-08,9.705000000000001e-08,7.043684210526316e-08,False,False,False,0,False,,,-0.2492466210767736,2.0,False,False,,,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1800.6+7828,7,8,54760.00001157408,4.02e-08,2.51e-08,6.35e-08,1.239419773299748e-07,7.043684210526316e-08,5.411822705891242e-09,7.043684210526316e-08,5.411822705891242e-09,9.705000000000001e-08,9.705000000000001e-08,7.043684210526316e-08,False,False,False,0,False,,,-1.177594071446258,2.0,False,False,,,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1800.6+7828,8,9,54767.00001157408,2.28e-08,1.74e-08,4.02e-08,1.239419773299748e-07,7.043684210526316e-08,5.411822705891242e-09,7.043684210526316e-08,5.411822705891242e-09,9.705000000000001e-08,9.705000000000001e-08,7.043684210526316e-08,False,False,False,0,False,,,-2.614223076753428,2.0,False,False,,,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1800.6+7828,9,10,54774.00001157408,3.23e-08,2.35e-08,2.28e-08,1.239419773299748e-07,7.043684210526316e-08,5.411822705891242e-09,7.043684210526316e-08,5.411822705891242e-09,9.705000000000001e-08,9.705000000000001e-08,7.043684210526316e-08,True,False,False,0,False,,,-1.5814510169015283,2.0,False,False,,,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1800.6+7828,10,11,54781.00001157408,3.17e-08,2.7e-08,3.23e-08,1.239419773299748e-07,7.043684210526316e-08,5.411822705891242e-09,7.043684210526316e-08,5.411822705891242e-09,9.705000000000001e-08,9.705000000000001e-08,7.043684210526316e-08,False,False,False,0,False,,,-1.406718412159825,2.0,False,False,,,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1800.6+7828,11,12,54795.00001157408,6.77e-08,2.55e-08,3.17e-08,1.239419773299748e-07,7.043684210526316e-08,5.411822705891242e-09,7.043684210526316e-08,5.411822705891242e-09,9.705000000000001e-08,9.705000000000001e-08,7.043684210526316e-08,True,False,False,0,False,,,-0.10498878862017957,2.0,False,False,,,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1800.6+7828,12,13,54802.00001157408,2.47e-08,1.79e-08,6.77e-08,1.239419773299748e-07,7.043684210526316e-08,5.411822705891242e-09,7.043684210526316e-08,5.411822705891242e-09,9.705000000000001e-08,9.705000000000001e-08,7.043684210526316e-08,False,False,False,0,False,,,-2.4457930688797807,2.0,False,False,,,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1800.6+7828,13,14,54809.00001157408,7.17e-08,2.73e-08,2.47e-08,1.239419773299748e-07,7.043684210526316e-08,5.411822705891242e-09,7.043684210526316e-08,5.411822705891242e-09,9.705000000000001e-08,9.705000000000001e-08,7.043684210526316e-08,True,True,True,1,False,54809.00001157408,,0.045386334642204554,2.0,False,False,,,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,604800.0,7.17e-08,60.40665576882581,151200.0,9206.90954331884,True,ok
4FGL J1800.6+7828,14,15,54823.00001157408,8.55e-08,3.26e-08,7.17e-08,1.239419773299748e-07,7.043684210526316e-08,5.411822705891242e-09,7.043684210526316e-08,5.411822705891242e-09,9.705000000000001e-08,9.705000000000001e-08,7.043684210526316e-08,True,True,True,2,False,54809.00001157408,,0.45582191291106533,2.0,False,False,,,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,1209600.0,7.86e-08,132.43969716679803,302400.0,5938.870197544917,True,ok
4FGL J1800.6+7828,15,16,54830.00001157408,3.77e-08,2.25e-08,8.55e-08,1.239419773299748e-07,7.043684210526316e-08,5.411822705891242e-09,7.043684210526316e-08,5.411822705891242e-09,9.705000000000001e-08,9.705000000000001e-08,7.043684210526316e-08,False,False,False,0,False,,,-1.4146262365409674,2.0,False,False,,,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1800.6+7828,16,17,54837.00001157408,6.65e-09,6.3e-09,3.77e-08,1.239419773299748e-07,7.043684210526316e-08,5.411822705891242e-09,7.043684210526316e-08,5.411822705891242e-09,9.705000000000001e-08,9.705000000000001e-08,7.043684210526316e-08,False,False,False,0,False,,,-7.680267631622312,2.0,False,False,,,weekly,30.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
