Table 1 
Constraints on Parameters of the Hard X-Ray Continuum Model


Target Name	${\chi }^{2}/\nu $	${p}_{\mathrm{null}}$ /%	Gamma	${E}_{\mathrm{cut}}$/keV	tau _e ^a	Notes ^b	
NGC 4395	276.3/305	88	1.54 +or- 0.08	${120}_{-30}^{+50}$	3.3	1.9	
NGC 4507	662.7/715	92	${1.41}_{-0.11}^{+0.09}$	${80}_{-10}^{+20}$	5.2	1.9	
LEDA 170194	130.3/140	71	${1.79}_{-0.12}^{+0.04}$	$\gt 230$	1.1	cdots	
NGC 4941	58.6/57	42	${1.5}_{-0.5}^{+0.3}$	${110}_{-60}^{+u}$	3.6	cdots	
NGC 4939	132.4/135	55	1.8 +or- 0.2	$\gt 140$	2.1	cdots	
NGC 4945	499.8/473	19	1.91 +or- 0.03	$\gt 240$	0.9	B	
NGC 4992	283.1/248	6	1.2 +or- 0.4	${80}_{-30}^{+90}$	> 7	cdots	
Mrk 248	141.3/166	92	1.6 +or- 0.1	${50}_{-10}^{+20}$	5.5	cdots	
Cen A	727.2/698	22	1.765 +or- 0.007	${550}_{-90}^{+140}$	0.5	A, B, RL	
ESO 509-IG066	199.2/224	88	1.5 +or- 0.1	${70}_{-20}^{+50}$	4.4	1.9	
NGC 5252	299.7/292	36	1.67 +or- 0.04	${330}_{-100}^{+150}$	0.9	X	
2MASX J1410	145.7/123	8	1.8 +or- 0.2	$\gt 80$	3.3	cdots	
NGC 5506	197.9/181	18	1.79 +or- 0.02	110 +or- 10	2.7	A, 1.9	
NGC 5643	125.8/115	23	1.9 +or- 0.2	$\gt 130$	2.0	C	
NGC 5674	244.0/258	73	1.86 +or- 0.09	${210}_{-110}^{+u}$	1.1	cdots	
Mrk 477	183.4/189	60	${1.6}_{-0.1}^{+0.2}$	${140}_{-60}^{+200}$	2.6	1.9	
NGC 5728	271.4/270	46	${1.3}_{-0.2}^{+0.1}$	${80}_{-20}^{+30}$	6.9	1.9	
