spectral_index,ecut_keV,is_upper_limit,spectral_index_err_low,spectral_index_err_high,ecut_err_low,ecut_err_high,label
1.7,90.0,True,0.2,0.2,,,2MASX J2021
1.7,190.0,False,0.2,0.2,90.0,,NGC 6921
1.7,150.0,True,0.2,0.2,,,MCG +04-48-002
1.7,220.0,False,0.1,0.2,90.0,,IC 5063
1.91,100.0,True,0.3,0.07,,,NGC 7130
1.88,670.0,True,0.02,0.02,,,NGC 7172
1.57,200.0,True,0.08,0.06,,,MCG +06-49-019
1.71,220.0,True,0.18,0.04,,,NGC 7319
1.3,70.0,False,0.1,0.1,20.0,40.0,3C 452
1.7,200.0,False,0.2,0.2,80.0,190.0,NGC 7582
1.7,70.0,True,0.3,0.3,,,2MASX J2330
1.8,220.0,False,0.05,0.05,110.0,,PKS 2331-240
1.7,160.0,False,0.2,0.2,80.0,,PKS 2356-61
