#,Swift_BAT_name,BAT_ra,BAT_dec,SNR,COUNTERPART_NAME,OTHER_NAME,CTPT_RA,CTPT_DEC,Flux_BAT,FLUX_LO,FLUX_HI,CONTA,index_BAT,GAMM2,GAMM3,CHI_SQ_R,REDSHIF,LUM,ASSOC_STREN,CL2,Type_BAT
420,SWIFTJ0832.5+3703,128.101,37.106,8.83,FBQSJ083225.3+370736,,128.1060,37.1270,15.30,12.35,17.76,0.0,2.03,1.65,2.46,0.50,0.0919,44.51,,40,Sy1.2
421,SWIFTJ0835.2-4513,128.841,-45.183,97.77,VelaPulsar,,128.8361,-45.1764,175.49,173.16,178.06,0.0,1.97,1.94,2.01,1.30,,,,150,Pulsar
422,SWIFTJ0838.0+4839,129.613,48.639,22.45,EIUMa,,129.5916,48.6338,29.05,27.31,30.97,0.0,2.62,2.45,2.80,3.50,,,,90,CV
423,SWIFTJ0838.4-3557,129.619,-35.986,18.45,Fairall1146,,129.6283,-35.9926,31.70,29.42,34.23,0.0,2.10,1.93,2.28,1.50,0.0316,43.86,,40,Sy1.5
424,SWIFTJ0838.8-4832,129.704,-48.553,9.92,USNO-B1.00414-00125587,,129.7046,-48.5235,15.68,13.57,18.02,0.0,2.16,1.83,2.54,2.30,,,,90,CV
425,SWIFTJ0839.6-1213,129.936,-12.250,15.28,3C206,,129.9609,-12.2428,29.09,26.45,31.56,0.0,2.00,1.79,2.22,1.30,0.1976,45.51,,40,Sy1
426,SWIFTJ0840.2+2947,130.039,29.799,9.97,4C+29.30,,130.0099,29.8174,18.91,16.31,21.34,0.0,1.88,1.58,2.21,0.80,0.0647,44.28,,50,Sy2
427,SWIFTJ0841.0-4507,130.293,-45.063,7.11,LMVel,,130.1991,-45.0584,9.22,7.38,10.90,0.0,2.65,2.11,3.31,2.50,,,,180,HMXB
428,SWIFTJ0841.4+7052,130.349,70.885,38.17,[HB89]0836+710,,130.3515,70.8951,69.81,67.32,72.15,0.0,1.70,1.62,1.78,0.30,2.1720,48.39,,80,BeamedAGN
429,SWIFTJ0842.0+0759,130.470,7.997,8.21,2MASXJ08420557+0759253,,130.5232,7.9904,15.31,12.59,17.85,0.0,1.98,1.56,2.47,0.80,0.1338,44.86,,40,Sy1.5
430,SWIFTJ0843.5+3551,130.914,35.852,7.27,2MASXJ08434495+3549421,,130.9375,35.8283,10.98,7.74,12.63,0.0,2.23,1.77,2.79,0.80,0.0540,43.88,,50,Sy2
