#,Swift_BAT_name,BAT_ra,BAT_dec,SNR,COUNTERPART_NAME,OTHER_NAME,CTPT_RA,CTPT_DEC,Flux_BAT,FLUX_LO,FLUX_HI,CONTA,index_BAT,GAMM2,GAMM3,CHI_SQ_R,REDSHIF,LUM,ASSOC_STREN,CL2,Type_BAT
1,SWIFTJ0001.0-0708,0.228,-7.164,7.73,2MASXJ00004876-0709117,,0.2032,-7.1532,13.49,11.10,16.01,0.0,2.21,1.80,2.70,1.30,0.0375,43.64,,50,Sy1.9
2,SWIFTJ0001.6-7701,0.445,-77.000,6.32,Fairall1203,,0.4419,-76.9540,13.23,10.47,15.97,0.0,1.62,1.22,2.04,2.20,0.0584,44.03,,50,Sy1.9
3,SWIFTJ0002.5+0323,0.613,3.365,5.50,NGC7811,,0.6103,3.3519,10.79,7.89,13.64,0.0,1.95,1.38,2.66,0.70,0.0255,43.20,,40,Sy1.5
4,SWIFTJ0003.3+2737,0.856,27.643,5.98,2MASXJ00032742+2739173,,0.8643,27.6548,10.29,7.75,12.77,0.0,2.12,1.61,2.73,0.40,0.0396,43.58,,50,Sy2
5,SWIFTJ0005.0+7021,0.934,70.358,8.52,2MASXJ00040192+7019185,,1.0082,70.3217,13.41,11.09,15.70,0.0,2.07,1.68,2.52,1.00,0.0960,44.49,,50,Sy1.9
6,SWIFTJ0006.2+2012,1.596,20.242,10.42,Mrk335,,1.5813,20.2029,15.97,13.70,18.44,0.0,2.31,1.97,2.71,0.60,0.0258,43.38,,40,Sy1.2
7,SWIFTJ0009.4-0037,2.305,-0.639,4.26,2MASXJ00091156-0036551,,2.2982,-0.6152,10.17,7.09,13.58,0.0,1.68,1.00,2.43,0.30,0.0733,44.13,,50,Sy2
8,SWIFTJ0010.5+1057,2.616,10.969,14.02,Mrk1501,,2.6292,10.9749,30.34,27.53,33.40,0.0,1.82,1.61,2.04,0.60,0.0893,44.78,,80,BeamedAGN
9,SWIFTJ0017.1+8134,4.483,81.569,8.57,[HB89]0014+813,,4.2853,81.5856,11.39,9.52,13.47,0.0,2.42,1.99,2.95,0.70,3.3660,48.07,,80,BeamedAGN
10,SWIFTJ0021.2-1909,5.289,-19.162,10.37,2MASXJ00210753-1910056,,5.2814,-19.1682,19.60,17.51,22.34,0.0,2.00,1.70,2.33,0.70,0.0956,44.65,,50,Sy2
11,SWIFTJ0023.2+6142,5.830,61.663,9.90,IGRJ00234+6141,,5.7000,61.6600,14.05,12.46,16.14,0.0,2.33,2.00,2.72,0.70,,,,90,CV
12,SWIFTJ0025.2+6410,6.326,64.142,11.13,TychoSNR,,6.2840,64.1650,13.07,11.86,14.69,0.0,3.03,2.60,3.57,3.10,,,,160,SNR
13,SWIFTJ0025.8+6818,6.432,68.403,9.34,2MASXJ00253292+6821442,,6.3870,68.3623,19.57,17.48,22.30,0.0,1.61,1.27,1.96,0.60,0.0120,42.80,,50,Sy2
14,SWIFTJ0026.5-5308,6.709,-53.151,7.04,2MASXJ00264073-5309479,,6.6695,-53.1633,13.64,11.61,16.30,0.0,1.65,1.18,2.17,1.70,0.0629,44.11,,50,Sy1.9
15,SWIFTJ0028.9+5917,7.162,59.266,47.10,V709Cas,,7.2036,59.2894,76.62,75.00,78.83,0.0,2.57,2.51,2.64,13.60,,,,90,CV
16,SWIFTJ0029.2+1319,7.288,13.292,8.37,[HB89]0026+129,,7.3067,13.2675,14.01,11.93,16.80,0.0,2.17,1.75,2.67,0.70,0.1420,44.88,,40,Sy1.2
17,SWIFTJ0030.0-5904,7.745,-59.009,7.37,SWIFTJ0030.0-5904,,7.7138,-59.0768,12.82,10.74,15.60,0.0,1.79,1.41,2.20,0.70,,,,11,U1
18,SWIFTJ0033.6+6127,8.393,61.485,10.01,2MASXJ00331831+6127433,,8.3266,61.4620,15.84,14.01,18.31,0.0,2.17,1.86,2.51,1.30,0.1050,44.65,,50,Sy1.9
19,SWIFTJ0034.5-7904,8.676,-79.092,6.77,2MASXJ00341665-7905204,,8.5697,-79.0890,8.13,6.62,9.24,0.0,2.84,2.26,3.61,0.10,0.0740,44.04,,40,Sy1
20,SWIFTJ0034.6-0422,8.632,-4.402,8.53,2MASXJ00343284-0424117,,8.6368,-4.4033,19.47,16.55,21.55,0.0,1.69,1.36,2.03,1.00,0.0740,44.42,,50,Sy2
21,SWIFTJ0036.0+5951,8.989,59.841,21.42,1ES0033+595,,8.9694,59.8346,25.96,24.39,27.09,0.0,2.81,2.62,3.03,0.80,0.0860,44.68,,80,BeamedAGN
22,SWIFTJ0036.3+4540,9.097,45.662,9.22,CGCG535-012,,9.0874,45.6650,16.34,14.04,18.00,0.0,1.93,1.61,2.30,1.00,0.0476,43.94,,40,Sy1.2
23,SWIFTJ0037.2+6123,9.288,61.368,12.45,BD+6073,,9.2902,61.3601,18.42,16.83,20.31,0.0,2.34,2.07,2.66,1.70,,,,180,HMXB
24,SWIFTJ0038.4+2337,9.640,23.594,7.54,Mrk344,,9.6339,23.6133,12.89,10.86,15.26,0.0,2.05,1.59,2.59,0.50,0.0249,43.26,,50,Sy2
25,SWIFTJ0041.0+2444,10.221,24.756,4.54,SWIFTJ004039.9+244539,,10.1658,24.7608,6.86,4.89,9.09,0.0,2.19,1.49,3.17,0.60,,,,12,U2
26,SWIFTJ0041.9-0921,10.447,-9.349,6.47,ABELL85,,10.4075,-9.3425,7.22,6.27,8.29,0.0,4.60,3.72,5.89,0.70,,,,30,GalaxyCluster
27,SWIFTJ0042.6+4112,10.649,41.216,10.16,SWIFTJ0042.7+4111,,10.6679,41.2002,12.98,11.56,14.63,0.0,2.80,2.41,3.28,1.20,,,,14,confusedsource
28,SWIFTJ0042.9-2332,10.714,-23.534,25.51,NGC235A,,10.7200,-23.5410,52.14,49.59,55.52,0.0,1.78,1.67,1.90,1.60,0.0222,43.77,,50,Sy1.9
29,SWIFTJ0042.9+3016A,10.839,30.331,8.15,2MASXJ00430184+3017195,,10.7578,30.2888,7.10,2.50,13.47,0.0,2.72,1.37,5.95,0.80,,,,50,Sy2
30,SWIFTJ0042.9+3016B,10.704,30.281,11.40,2MASXJ00423991+3017515,,10.6663,30.2976,26.08,16.57,38.75,0.0,0.50,0.00,1.86,0.50,0.1408,45.14,,40,Sy1
31,SWIFTJ0042.9-1135,10.771,-11.647,4.71,MCG-02-02-095,,10.7865,-11.6010,8.12,5.85,11.21,0.0,2.13,1.34,3.37,1.00,0.0189,42.82,,50,Sy2
32,SWIFTJ0046.2-4008,11.533,-40.090,7.52,ESP39607,,11.5860,-40.0970,11.11,8.52,13.40,0.0,2.12,1.70,2.61,1.20,0.2013,45.11,,50,Sy2
33,SWIFTJ0048.8+3155,12.198,31.956,79.47,Mrk348,,12.1964,31.9570,144.81,141.91,147.47,0.0,1.90,1.86,1.94,6.40,0.0150,43.86,,80,BeamedAGN
34,SWIFTJ0051.6+2928,12.902,29.482,6.52,MCG+05-03-013,,12.8959,29.4013,10.22,7.36,12.76,0.0,2.07,1.49,2.81,0.90,0.0360,43.49,,40,Sy1
35,SWIFTJ0051.8-7320,12.699,-73.257,14.48,RXJ0052.1-7319,,13.0921,-73.3181,15.76,13.76,17.54,0.0,2.69,2.39,3.03,1.10,,,,180,HMXB
36,SWIFTJ0051.9+1724,12.974,17.437,17.75,Mrk1148,,12.9783,17.4329,28.06,25.45,30.09,0.0,2.25,2.06,2.47,0.60,0.0640,44.44,,40,Sy1.5
37,SWIFTJ0052.3-2730,13.027,-27.510,4.77,2MASXJ00520383-2723488,,13.0158,-27.3969,6.25,3.68,8.26,0.0,2.19,1.39,3.32,1.30,,,,70,UnknownAGN
38,SWIFTJ0053.3-7224,13.355,-72.406,8.22,RXJ0053.8-7226,,13.4790,-72.4460,10.55,8.53,12.12,0.0,2.53,2.12,3.04,0.80,,,,180,HMXB
39,SWIFTJ0054.9+2524,13.712,25.443,8.11,[HB89]0052+251,,13.7171,25.4272,13.85,11.13,15.96,0.0,2.09,1.72,2.52,1.80,0.1550,44.96,,40,Sy1.2
40,SWIFTJ0055.4+4612,13.838,46.206,15.80,1RXSJ005528.0+461143,,13.8329,46.2158,18.52,16.80,19.86,0.0,3.02,2.75,3.33,2.30,,,,90,CV
41,SWIFTJ0056.7+6043,14.170,60.717,75.52,GammaCas,,14.1772,60.7167,83.44,82.07,84.70,0.0,3.35,3.29,3.42,11.00,,,,180,HMXB
42,SWIFTJ0057.0+6405,14.202,64.051,5.80,NVSSJ005712+635942,,14.3036,63.9952,8.23,6.13,10.09,0.0,2.33,1.81,3.00,1.00,,,,80,BeamedAGN
43,SWIFTJ0059.4+3150,14.986,31.833,16.60,Mrk352,,14.9720,31.8269,31.13,28.53,33.52,0.0,1.90,1.72,2.10,0.30,0.0149,43.19,,40,Sy1.2
44,SWIFTJ0100.9-4750,15.161,-47.871,9.21,ESO195-IG021NED03,,15.1457,-47.8676,15.70,13.26,17.92,0.0,1.83,1.47,2.23,0.50,0.0483,43.94,,50,Sy2
45,SWIFTJ0101.5-0308,15.262,-3.158,4.39,2MASXJ01012440-0308399,,15.3517,-3.1445,8.44,6.81,11.19,0.0,1.80,1.02,2.76,0.40,0.0694,43.99,,40,Sy1.8
46,SWIFTJ0102.6-7242A,15.648,-72.735,6.53,IGRJ01054-7253,,16.1725,-72.9013,3.42,2.35,5.02,0.0,3.46,2.29,6.00,1.00,,,,180,HMXB
47,SWIFTJ0102.6-7242B,15.714,-72.749,4.49,XTEJ0103-728,,15.7212,-72.7425,13.42,12.32,15.30,0.0,3.17,2.65,3.85,0.50,,,,180,HMXB
48,SWIFTJ0103.8-6437,15.950,-64.640,7.19,PKS0101-649,,15.8904,-64.6521,14.30,12.82,16.78,0.0,1.58,1.07,2.12,1.20,0.1630,45.02,,80,BeamedAGN
49,SWIFTJ0105.5-4213,16.349,-42.205,7.47,MCG-07-03-007,,16.3617,-42.2162,14.43,12.96,16.88,0.0,1.70,1.35,2.09,1.00,0.0302,43.48,,50,Sy2
50,SWIFTJ0106.2-4704,16.497,-47.073,5.06,ESO243-G026,,16.4082,-47.0717,5.91,4.09,7.68,0.0,2.59,1.83,3.74,0.20,0.0193,42.70,,50,Sy2
51,SWIFTJ0105.7-1414,16.414,-14.260,7.65,2MASXJ01053882-1416133,,16.4117,-14.2704,11.08,8.77,13.28,0.0,2.46,1.96,3.10,0.20,0.0660,44.07,,50,Sy1.9
52,SWIFTJ0105.6-3433,16.436,-34.556,8.63,HE0103-3447,,16.4442,-34.5292,14.10,11.59,16.48,0.0,2.04,1.67,2.49,1.80,0.0570,44.04,,40,Sy1
53,SWIFTJ0106.8+0639,16.660,6.628,9.95,2MASXJ01064523+0638015,,16.6886,6.6339,17.93,15.14,20.58,0.0,2.04,1.67,2.47,1.90,0.0410,43.85,,50,Sy2
54,SWIFTJ0107.7-1137A,16.986,-11.644,7.49,1RXSJ010737.5-113946,,16.9075,-11.6660,15.27,0.00,43.59,0.0,1.95,0.00,0.00,0.00,,,,12,U2
55,SWIFTJ0107.7-1137B,16.907,-11.627,8.40,2MASXJ01073963-1139117,,16.9152,-11.6532,15.27,0.00,43.54,0.0,1.95,0.00,0.00,0.00,0.0475,43.91,,50,Sy2
56,SWIFTJ0107.7-1137C,16.873,-11.650,10.74,1RXSJ010713.0-113554,,16.8074,-11.6007,2.56,1.02,4.02,0.0,8.25,0.00,0.00,1.20,,,,12,U2
57,SWIFTJ0109.0+1320,17.194,13.353,14.56,3C033,,17.2203,13.3372,27.68,25.10,29.77,0.0,1.97,1.76,2.19,1.80,0.0597,44.37,,50,Sy2
58,SWIFTJ0111.4-3808,17.861,-38.098,11.64,NGC424,,17.8650,-38.0830,21.51,19.15,24.47,0.0,1.91,1.67,2.16,0.60,0.0118,42.83,,50,Sy1.9
59,SWIFTJ0113.8+2515,18.419,25.294,5.52,87GB011040.5+250307,,18.3446,25.3148,8.70,6.27,11.68,0.0,2.09,1.37,3.02,0.80,,,,80,BeamedAGN
60,SWIFTJ0113.8+1313,18.476,13.222,7.76,Mrk975,,18.4626,13.2717,13.50,10.99,16.61,0.0,2.09,1.66,2.60,1.30,0.0496,43.89,,40,Sy1.2
61,SWIFTJ0113.8-1450,18.474,-14.864,14.24,Mrk1152,,18.4587,-14.8456,24.04,21.65,27.04,0.0,2.12,1.89,2.37,0.30,0.0527,44.20,,40,Sy1.2
62,SWIFTJ0114.5-3236,18.559,-32.664,6.46,IC1657,,18.5292,-32.6509,12.18,9.56,14.44,0.0,1.83,1.34,2.40,0.10,0.0120,42.59,,50,Sy2
63,SWIFTJ0114.4-5522,18.599,-55.397,9.41,NGC454E,,18.6038,-55.3971,19.04,16.35,21.37,0.0,1.56,1.25,1.88,0.20,0.0121,42.79,,50,Sy2
64,SWIFTJ0116.3+3104,19.081,31.046,6.37,NGC452,,19.0618,31.0338,11.90,9.37,14.08,0.0,2.00,1.56,2.51,1.20,0.0166,42.87,,50,Sy2
65,SWIFTJ0116.5-1235,19.129,-12.582,5.65,2MASXJ01163118-1236171,,19.1298,-12.6047,9.34,6.82,11.51,0.0,2.13,1.59,2.82,0.70,,,,70,UnknownAGN
66,SWIFTJ0117.8-7327,19.272,-73.444,394.46,SMCX-1,,19.2714,-73.4433,420.98,419.61,422.18,0.0,3.35,3.33,3.36,700.10,,,,180,HMXB
67,SWIFTJ0117.8+6516,19.512,65.294,119.37,2S0114+650,,19.5112,65.2916,155.40,153.34,156.97,0.0,2.64,2.61,2.67,8.00,,,,180,HMXB
68,SWIFTJ0118.5+6344,19.614,63.738,60.44,4U0115+634,,19.6330,63.7400,66.26,64.71,67.44,0.0,3.38,3.30,3.46,4.20,,,,180,HMXB
69,SWIFTJ0122.0-2818,20.518,-28.315,5.04,[HB89]0119-286,,20.4646,-28.3492,10.61,7.24,13.16,0.0,1.54,0.89,2.22,0.50,0.1160,44.57,,40,Sy1
70,SWIFTJ0122.8+5003,20.673,50.105,8.35,MCG+08-03-018,,20.6435,50.0550,10.24,8.20,11.76,0.0,2.78,2.29,3.40,0.10,0.0204,42.98,,50,Sy2
71,SWIFTJ0122.9+3420,20.776,34.371,9.23,SHBLJ012308.7+342049,,20.7860,34.3469,11.27,9.65,13.34,0.0,2.94,2.46,3.55,0.80,0.2720,45.41,,80,BeamedAGN
72,SWIFTJ0123.8-3504,20.973,-35.060,40.94,NGC526A,,20.9766,-35.0654,73.91,71.60,76.84,0.0,1.93,1.85,2.00,0.40,0.0191,43.78,,50,Sy2
73,SWIFTJ0123.9-5846,20.959,-58.798,31.68,Fairall9,,20.9408,-58.8057,48.39,46.35,50.99,0.0,2.03,1.93,2.14,2.00,0.0470,44.40,,40,Sy1.2
74,SWIFTJ0124.5+3350,21.136,33.768,11.71,NGC513,,21.1119,33.7995,24.47,21.85,27.80,0.0,1.74,1.50,1.98,1.20,0.0195,43.32,,50,Sy2
75,SWIFTJ0126.0+3511,21.593,35.118,4.53,1RXSJ012556.6+351039,,21.4832,35.1761,7.07,4.24,9.03,0.0,2.00,1.15,3.01,1.50,0.3120,45.35,,40,Sy1
76,SWIFTJ0126.2+1517,21.514,15.382,4.65,RHS10,,21.4919,15.3038,6.83,4.07,8.72,0.0,2.25,1.52,3.34,1.40,0.1110,44.34,,40,Sy1
77,SWIFTJ0127.5+1910,21.906,19.167,9.27,Mrk359,,21.8856,19.1788,13.57,11.02,15.36,0.0,2.37,1.97,2.86,2.00,0.0174,42.97,,40,Sy1.5
78,SWIFTJ0128.0-1850,22.017,-18.800,10.66,MCG-03-04-072,,22.0280,-18.8086,20.00,17.09,22.06,0.0,1.94,1.64,2.26,0.30,0.0460,44.00,,40,Sy1
79,SWIFTJ0128.4+1631,22.123,16.477,7.13,CGCG459-058,,22.1017,16.4593,14.01,10.81,16.28,0.0,1.83,1.38,2.35,0.40,0.0386,43.69,,50,Sy1.9
80,SWIFTJ0128.9-6039,22.247,-60.630,5.81,2MASXJ01290761-6038423,,22.2818,-60.6450,7.79,6.01,9.49,0.0,2.32,1.78,3.01,0.60,,,,50,Sy2
81,SWIFTJ0130.0-4218,22.520,-42.341,5.07,ESO244-IG030,,22.4636,-42.3265,5.53,4.03,7.01,0.0,2.88,2.01,4.46,0.50,0.0256,42.92,,50,Sy2
82,SWIFTJ0130.2-4552,22.545,-45.915,5.97,2MASXJ01302127-4601448,,22.5887,-46.0292,12.22,9.72,14.56,0.0,1.48,0.99,1.99,0.30,,,,50,Sy2
83,SWIFTJ0131.8-3307,22.993,-33.113,7.91,ESO353-G009,,22.9601,-33.1193,14.48,12.16,16.66,0.0,1.86,1.47,2.31,0.40,0.0165,42.95,,50,Sy2
84,SWIFTJ0134.1-3625,23.490,-36.493,22.87,NGC612,,23.4906,-36.4933,48.97,46.94,51.52,0.0,1.61,1.48,1.73,0.10,0.0298,44.00,,50,Sy2
85,SWIFTJ0134.8-0430,23.744,-4.520,9.98,2MASXJ01344565-0430134,,23.6902,-4.5036,19.27,17.13,21.94,0.0,1.80,1.49,2.13,0.70,0.0790,44.47,,50,Sy1.9
86,SWIFTJ0136.5+3906,24.126,39.050,4.76,B30133+388,,24.1354,39.0999,7.91,6.07,10.19,0.0,1.99,1.30,2.89,1.90,,,,80,BeamedAGN
87,SWIFTJ0138.6-4001,24.660,-40.005,36.50,ESO297-018,,24.6548,-40.0114,67.37,65.50,69.72,0.0,1.79,1.71,1.87,1.10,0.0252,43.99,,50,Sy2
88,SWIFTJ0138.8+2925,24.626,29.449,4.56,2MASXJ01392400+2924067,,24.8500,29.4019,5.33,3.32,7.31,0.0,2.64,1.70,4.27,1.00,0.0759,43.88,,50,Sy1.9
89,SWIFTJ0140.6-5321,25.132,-53.345,9.56,2MASXJ01402676-5319389,,25.1116,-53.3276,12.94,11.03,14.96,0.0,2.23,1.87,2.66,1.00,0.0744,44.24,,50,Sy2
90,SWIFTJ0142.0+3922,25.524,39.401,9.00,B20138+39B,,25.4906,39.3914,14.92,12.59,17.39,0.0,2.08,1.70,2.52,0.80,0.0800,44.37,,80,BeamedAGN
91,SWIFTJ0146.0+6143,26.607,61.750,30.64,PSRJ0146+61,,26.5934,61.7509,114.47,111.18,117.95,0.0,0.87,0.79,0.95,0.80,,,,150,Pulsar
92,SWIFTJ0149.2+2153A,27.159,21.789,2.21,2MASXJ01485967+2145343,,27.2487,21.7593,3.87,0.75,6.92,0.0,2.08,0.00,0.00,0.80,,,,70,UnknownAGN
93,SWIFTJ0149.2+2153B,27.329,21.953,5.24,NGC678,,27.3536,21.9973,6.63,3.79,9.61,0.0,2.43,1.42,4.17,0.50,0.0095,42.12,,70,UnknownAGN
94,SWIFTJ0149.9-5019,27.375,-50.325,7.39,2MASXJ01492228-5015073,,27.3428,-50.2521,13.20,10.40,16.11,0.0,1.58,1.15,2.04,0.40,,,,40,Sy1.2
95,SWIFTJ0151.3-3610,27.869,-36.134,6.83,ESO354-G004,,27.9245,-36.1878,11.18,8.62,13.83,0.0,1.98,1.52,2.51,0.40,0.0335,43.46,,50,Sy1.9
96,SWIFTJ0152.8-0329,28.202,-3.461,11.55,MCG-01-05-047,,28.2042,-3.4468,24.02,20.92,27.25,0.0,1.80,1.56,2.06,3.00,0.0172,43.20,,50,Sy2
97,SWIFTJ0154.9-2707,28.635,-27.147,11.60,2MASSiJ0154403-270701,,28.6679,-27.1169,15.96,13.70,18.33,0.0,2.44,2.13,2.79,0.50,0.7900,46.67,,70,UnknownAGN
98,SWIFTJ0155.4+0228,28.865,2.513,8.54,1ES0152+022,,28.8538,2.4712,13.24,10.54,16.07,0.0,2.31,1.89,2.84,1.20,0.0820,44.34,,40,Sy1
99,SWIFTJ0157.2+4715,29.288,47.264,5.93,2MASXJ01571097+4715588,,29.2956,47.2666,12.13,9.14,15.26,0.0,1.81,1.35,2.31,0.90,,,,40,Sy1
100,SWIFTJ0157.8-7300,29.372,-73.015,7.18,IGRJ01572-7259,,29.3173,-72.9757,8.80,6.73,10.93,0.0,2.55,1.99,3.30,0.50,,,,180,HMXB
101,SWIFTJ0200.3+2428,30.155,24.465,4.96,UGC01479,,30.0794,24.4737,13.19,10.08,17.30,0.0,1.31,0.75,1.91,1.60,0.0164,42.90,,50,Sy2
102,SWIFTJ0201.0-0648,30.270,-6.822,38.22,NGC788,,30.2769,-6.8155,77.51,74.99,80.88,0.0,1.82,1.74,1.90,2.60,0.0136,43.51,,50,Sy2
103,SWIFTJ0202.4+6824A,30.659,68.337,7.25,2MASXJ02021731+6821460,,30.5720,68.3620,14.77,8.87,22.59,0.0,1.73,0.56,3.14,0.20,0.0119,42.67,,70,UnknownAGN
104,SWIFTJ0202.4+6824B,30.607,68.408,8.82,2MASXJ02013241+6824219,,30.3850,68.4061,7.04,0.00,17.65,0.0,0.71,0.00,0.00,0.20,0.0152,42.56,,70,UnknownAGN
105,SWIFTJ0203.1-2359,30.741,-24.001,7.18,1RXSJ020301.2-240213,,30.7537,-24.0367,9.96,8.04,11.78,0.0,2.42,1.91,3.08,0.20,0.1781,44.95,,40,Sy1.5
106,SWIFTJ0206.2-0019,31.576,-0.271,11.83,Mrk1018,,31.5666,-0.2914,24.27,21.64,26.85,0.0,1.82,1.56,2.10,0.80,0.0424,44.01,,40,Sy1.2
107,SWIFTJ0207.0+2931,31.748,29.502,10.35,3C59,,31.7911,29.5280,20.23,17.65,22.75,0.0,1.82,1.51,2.16,0.60,0.1096,44.80,,40,Sy1
108,SWIFTJ0208.4-7428A,31.630,-74.538,4.67,1WGAJ0206.7-7427,,31.6904,-74.4626,7.60,5.79,9.20,0.0,3.24,2.50,4.32,0.90,,,,180,HMXB
109,SWIFTJ0208.4-7428B,31.911,-74.421,7.29,RXJ0209.6-7427,,32.4010,-74.4520,4.86,1.83,7.86,0.0,1.90,0.00,5.22,0.80,,,,180,HMXB
110,SWIFTJ0208.2+4452,31.970,44.851,4.69,MCG+07-05-016,,31.9649,44.8438,6.98,4.96,8.97,0.0,2.54,1.98,3.34,1.70,0.0217,42.87,,70,UnknownAGN
111,SWIFTJ0208.5-1738,32.173,-17.627,5.85,NVSSJ020834-173933,,32.1455,-17.6594,11.13,8.62,13.71,0.0,1.90,1.42,2.43,0.60,0.1290,44.69,,40,Sy1.2
112,SWIFTJ0209.5-1010,32.371,-10.158,5.73,ARP318,,32.3805,-10.1585,15.18,12.02,18.44,0.0,1.41,0.85,1.98,0.70,,,,140,Compactgroupofgalaxies
113,SWIFTJ0209.7+5226,32.402,52.446,32.60,LEDA138501,,32.3929,52.4425,55.63,53.48,57.62,0.0,2.15,2.05,2.26,0.50,0.0492,44.50,,40,Sy1
114,SWIFTJ0211.1-4944,32.738,-49.715,6.92,ESO197-G027,,32.7189,-49.6985,9.75,7.85,11.50,0.0,2.16,1.67,2.81,1.00,0.0481,43.73,,50,Sy2
115,SWIFTJ0213.7+5147,33.553,51.772,9.25,2MASXJ02141794+5144520,,33.5747,51.7478,13.65,11.84,15.32,0.0,2.58,2.19,3.04,1.30,0.0490,43.89,,80,BeamedAGN
116,SWIFTJ0214.6-0049,33.701,-0.777,5.49,Mrk590,,33.6400,-0.7670,10.68,8.01,13.15,0.0,1.84,1.21,2.60,0.40,0.0264,43.23,,40,Sy1.5
117,SWIFTJ0214.9-6432,33.728,-64.501,8.29,2MASXJ02143730-6430052,,33.6557,-64.5014,12.76,10.64,14.71,0.0,1.92,1.55,2.35,0.60,0.0740,44.23,,40,Sy1
118,SWIFTJ0215.6-1301,33.908,-12.989,6.16,3C062,,33.9062,-12.9918,15.89,13.12,18.51,0.0,1.45,0.99,1.92,0.70,0.1470,44.97,,50,Sy2
119,SWIFTJ0216.3+5128,34.044,51.443,9.47,2MASXJ02162987+5126246,,34.1243,51.4402,16.83,14.63,18.91,0.0,1.98,1.63,2.38,0.60,0.0288,43.51,,50,Sy2
120,SWIFTJ0218.0+7348,34.383,73.808,15.50,[HB89]0212+735,,34.3784,73.8257,34.98,32.55,37.29,0.0,1.55,1.37,1.73,1.70,2.3670,48.18,,80,BeamedAGN
121,SWIFTJ0222.6+5222,35.652,52.363,5.43,1RXSJ022206.0+522112,,35.5258,52.3523,6.55,5.06,7.90,0.0,2.90,2.21,3.98,1.30,0.2000,44.88,,40,Sy1
122,SWIFTJ0222.3+2509,35.609,25.154,7.79,2MASXJ02223523+2508143,,35.6468,25.1374,15.44,12.80,18.61,0.0,1.93,1.54,2.36,1.80,,,,70,UnknownAGN
123,SWIFTJ0223.4+4551,35.873,45.814,6.90,VZw232,,35.8913,45.8186,14.55,11.99,17.63,0.0,1.75,1.29,2.25,0.70,,,,50,Sy2
124,SWIFTJ0225.0-2312,36.233,-23.245,7.53,PKS0222-23,,36.2612,-23.2133,11.59,9.49,14.14,0.0,2.22,1.75,2.81,0.40,0.2322,45.27,,40,Sy1.5
125,SWIFTJ0225.0+1847,36.257,18.805,14.15,RBS0315,,36.2695,18.7802,31.37,28.46,34.84,0.0,1.73,1.51,1.95,1.80,2.6900,48.27,,80,BeamedAGN
126,SWIFTJ0225.8-6315,36.372,-63.234,7.65,Fairall296,,36.2876,-63.2240,10.68,8.76,13.01,0.0,2.11,1.71,2.59,2.00,0.0580,43.93,,50,Sy1.9
127,SWIFTJ0226.4-2821,36.608,-28.338,6.63,AM0224-283,,36.6081,-28.3503,12.04,9.47,14.36,0.0,1.84,1.36,2.38,0.30,0.0598,44.01,,40,Sy1.2
128,SWIFTJ0227.0+2346,36.762,23.754,5.90,MCG+04-06-043,,36.7275,23.7997,9.57,7.01,11.90,0.0,2.26,1.62,3.12,1.70,0.0333,43.39,,40,Sy1
129,SWIFTJ0228.1+3118,37.054,31.327,33.69,NGC931,,37.0603,31.3117,62.22,59.56,64.59,0.0,2.09,2.00,2.19,2.90,0.0167,43.59,,40,Sy1.5
130,SWIFTJ0230.2-0900,37.500,-9.049,8.28,Mrk1044,,37.5227,-8.9979,11.87,9.70,13.84,0.0,2.47,2.04,2.99,0.90,0.0165,42.86,,40,Sy1
131,SWIFTJ0231.6-3645,37.961,-36.691,11.62,IC1816,,37.9625,-36.6721,21.00,18.80,23.54,0.0,1.76,1.51,2.02,0.80,0.0170,43.14,,40,Sy1.8
132,SWIFTJ0232.8+2020,38.188,20.290,13.85,QSOB0229+200,,38.2026,20.2882,23.46,21.19,26.08,0.0,2.28,2.00,2.59,1.30,0.1396,45.09,,80,BeamedAGN
133,SWIFTJ0234.1+3233,38.579,32.504,22.14,NGC973,,38.5838,32.5056,48.41,45.81,51.43,0.0,1.81,1.68,1.94,1.90,0.0162,43.46,,50,Sy2
134,SWIFTJ0234.6-0848,38.661,-8.789,17.36,NGC985,,38.6574,-8.7876,30.21,27.98,32.79,0.0,2.10,1.92,2.29,3.40,0.0430,44.12,,40,Sy1.5
135,SWIFTJ0235.3-2934,38.828,-29.627,10.67,ESO416-G002,,38.8061,-29.6047,21.21,18.29,23.36,0.0,1.67,1.37,1.98,0.60,0.0592,44.25,,50,Sy1.9
136,SWIFTJ0238.2-5213,39.564,-52.204,18.59,ESO198-024,,39.5821,-52.1923,31.99,29.46,33.85,0.0,1.77,1.62,1.93,1.00,0.0455,44.19,,50,Sy1.9
137,SWIFTJ0238.5-6119,39.697,-61.312,6.58,2MASXJ02384313-6117227,,39.6796,-61.2896,10.19,7.70,12.03,0.0,1.92,1.41,2.54,0.60,,,,50,Sy2
138,SWIFTJ0238.8-4039,39.717,-40.669,10.30,2MASXJ02384897-4038377,,39.7040,-40.6439,15.13,12.80,16.84,0.0,2.10,1.78,2.46,0.10,0.0618,44.14,,50,Sy1.9
139,SWIFTJ0240.5+6118,40.163,61.239,15.45,LSI+61303,,40.1319,61.2293,31.91,28.95,34.09,0.0,1.73,1.53,1.93,0.70,,,,180,HMXB
